15640,1030,-432,774,-197,843,-192,216,563,599,-45,1172,684,731,24,503,956,119,-1237,-793,534,-285,212,129,41
21016,16296,479,-259,737,-452,530,-2109,799,2037,-209,-458,1565,1959,991,745,236,1198,341,-1327,-709,884,-755,3,-826
-11236,21125,16664,1141,-259,1181,-1566,1647,-2856,297,1300,-400,-766,1469,1882,953,1601,-117,815,709,-1939,-408,552,-163,-396
-14435,-11045,20975,17089,1953,-180,1419,-1939,2084,-1783,552,646,1071,-1057,1326,2189,95,658,27,1105,1845,-1964,-1417,202,834
14553,-14522,-9678,20890,17148,2496,477,1530,-2350,2424,-922,43,980,963,-675,459,2783,87,-562,276,541,582,-1667,-525,-14
-18536,14094,-14602,-9925,21172,17192,2823,355,2168,-2987,2263,-648,298,1128,2120,-3,416,3136,788,-1338,552,192,327,-1497,484
-4206,-18237,13569,-15061,-10131,20276,15641,2377,1056,3251,-2902,3198,-818,468,1128,1610,506,161,2432,862,-550,431,-98,-20048,18879
-18096,5842,-14030,-10832,20361,15577,2441,1553,2656,-2265,2676,-1189,459,1128,1576,399,12,2283,841,165,370,-116,-20303,18241,-535
5437,-13563,-11773,21423,16342,2420,1638,2672,-2839,3568,-1025,678,810,1448,909,-710,898,69,84,735,302,-19657,18318,-450,1019
-12870,-11900,21636,16521,1910,1825,2289,-2924,2803,983,1188,215,1606,1674,334,601,-422,1512,1540,616,-19621,18281,-386,1090,398
-5862,21721,16613,2080,1334,4372,-3094,7014,-493,2463,-634,2212,-69,283,-13450,97,996,720,361,-20407,18426,-1109,58,904,700
21891,16656,2271,1387,3138,-4214,6649,-766,2251,-592,2849,-197,181,-13450,178,910,58,-465,4004,18760,-1161,696,2107,1689,-361
15801,3214,1489,2968,-3258,5954,395,2742,-1166,2509,-607,-164,-13195,-527,1034,507,-975,4423,18831,541,-1522,715,-7419,563,-89
2555,1497,1374,-3980,6018,650,1884,-1914,2509,-30,-980,-13382,-690,1147,293,-1012,4040,19487,704,18,-90,-8248,514,450,714
1794,1300,-3986,5891,-29,2061,-1447,1731,-1588,-1016,-12898,0,1436,320,-226,4868,19336,1214,-603,-377,344,174,737,245,-63
821,-4338,5534,-503,14640,-621,1986,-695,-677,-12855,250,1869,-25,1160,5480,18982,1341,-986,-36,1067,-298,635,290,-506,595
-4585,6171,-380,14573,-1131,1668,-472,-859,-12382,691,2233,134,-1935,5110,19183,1647,1063,-602,939,-43,1192,163,-141,-323,-156
6816,-773,14962,-1568,2112,-10,-1199,-12892,321,2475,73,-1192,5818,19515,-97,573,-250,715,-2293,497,418,-779,-3237,-811,400
12,15278,-1846,2429,-647,-1551,-12467,774,2516,-497,-1435,6055,19695,565,604,-698,1,-2229,1296,650,28,-3152,-46,589,-84
13893,-1455,2062,477,-913,-13139,1277,1387,-820,-1116,6757,19542,606,424,448,-402,-2593,569,1504,1073,-4427,1897,1251,-425,-316
-1302,1240,499,-1264,-13547,1889,402,-1616,-394,7299,13548,627,-170,110,-20,-1315,503,1504,102,-4393,1863,-514,-680,-2563,373
666,598,-946,-13829,1766,-655,-1850,-777,8701,13398,627,-81,338,-360,-1146,1064,1533,-6,-4538,952,-637,-206,-2436,-85,-24
662,-1164,-13319,1540,-441,-673,1148,8508,745,346,-851,-729,-462,-503,639,1278,898,-5272,400,236,3186,-18,696,26,129
-81,-13611,1067,-675,113,970,7208,817,580,-469,-836,375,-120,293,1125,1111,-5782,527,-446,2124,-424,253,-3,-1034,1039
-12879,1546,206,252,488,6325,394,-104,-176,-898,-25,795,1376,-60,680,-5204,782,-191,2060,-147,239,307,-1244,655,79
